"Southeast Regional Climate Center",
"Regional Climate Perspectives product generated on 2026-03-03 at 3:55PM",
"Average Maximum Temperature for Saturday, November 29th, 2025 to Saturday, February 28th, 2026 (3 month)",
"Station","Name","City","State","Lat","Lon","Startdate","Enddate","Period","Period_text","Year Count","Average Maximum Temperature Value (F)"," Dep. From Normal (F)","Average Maximum Temperature Rank","Average Maximum Temperature Percentile",
010116,"Alabaster Shelby Co Ap","Alabaster","AL",33.17835,-86.78178,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",31,59.9,1.8,"9th warmest",71,
010117,"Alabama State Farm","Madison","AL",34.6891,-86.8819,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",74,53.1,1.4,"T-36th warmest",51,
010272,"Anniston Metro Ap","Anniston","AL",33.59043,-85.84788,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",83,57.9,0.9,"T-30th warmest",64,
010390,"Athens","Athens","AL",34.77528,-86.95083,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",35,53.4,-0.5,"17th coldest",46,
010402,"Atmore","Atmore","AL",31.18194,-87.43889,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",62,62.8,-0.1,"29th warmest",53,
010425,"Auburn No.2","Auburn","AL",32.59917,-85.46528,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",29,59.2,1.0,"11th coldest",34,
010583,"Bay Minette","Bay Minette","AL",30.88389,-87.78528,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",92,65.3,2.5,"T-25th warmest",73,
010655,"Belle Mina 2 N","Madison","AL",34.6891,-86.8819,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",74,53.1,1.4,"T-36th warmest",51,
010764,"Bessemer 3 Wsw","Bessemer","AL",33.39528,-87.00778,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",48,59.6,1.5,"16th warmest",67,
010831,"Birmingham Ap Asos","Birmingham","AL",33.56545,-86.7449,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",96,58.6,1.8,"18th warmest",81,
012372,"Dothan Regional AP","Dothan","AL",31.31767,-85.44324,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",58,64.4,0.6,"T-19th warmest",67,
013160,"Gainesville Lock","Gainesville","AL",32.83472,-88.13417,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",66,58.8,0.8,"T-19th warmest",71,
013251,"Geneva #2","Geneva","AL",31.03833,-85.87083,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",49,65.2,1.3,"7th warmest",86,
013511,"Greensboro","Greensboro","AL",32.69212,-87.57603,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",113,60.3,1.9,"T-35th warmest",69,
013573,"Guntersville","Guntersville","AL",34.33444,-86.32972,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",65,55.5,2.6,"T-22nd warmest",66,
013620,"Haleyville","Haleyville","AL",34.23111,-87.63472,"Nov 29, 2025","Feb 28, 2026","3_MONTH","Past Three Months",71,56.3,2.9,"14th warmest",80,
