time,State,Value,Variable,Date,Month,Year,State_Code
1895-01-01,Alabama,43.1,Average Temperature,1895-01-01,1,1895,AL
1895-02-01,Alabama,37.4,Average Temperature,1895-02-01,2,1895,AL
1895-03-01,Alabama,54.5,Average Temperature,1895-03-01,3,1895,AL
1895-04-01,Alabama,63.4,Average Temperature,1895-04-01,4,1895,AL
1895-05-01,Alabama,69.5,Average Temperature,1895-05-01,5,1895,AL
1895-06-01,Alabama,77.5,Average Temperature,1895-06-01,6,1895,AL
1895-07-01,Alabama,79.2,Average Temperature,1895-07-01,7,1895,AL
1895-08-01,Alabama,79.5,Average Temperature,1895-08-01,8,1895,AL
1895-09-01,Alabama,77.8,Average Temperature,1895-09-01,9,1895,AL
1895-10-01,Alabama,59.7,Average Temperature,1895-10-01,10,1895,AL
1895-11-01,Alabama,53.2,Average Temperature,1895-11-01,11,1895,AL
1895-12-01,Alabama,44.9,Average Temperature,1895-12-01,12,1895,AL
1896-01-01,Alabama,43.5,Average Temperature,1896-01-01,1,1896,AL
1896-02-01,Alabama,47.7,Average Temperature,1896-02-01,2,1896,AL
1896-03-01,Alabama,52.5,Average Temperature,1896-03-01,3,1896,AL
1896-04-01,Alabama,68.0,Average Temperature,1896-04-01,4,1896,AL
1896-05-01,Alabama,75.9,Average Temperature,1896-05-01,5,1896,AL
1896-06-01,Alabama,77.4,Average Temperature,1896-06-01,6,1896,AL
1896-07-01,Alabama,81.2,Average Temperature,1896-07-01,7,1896,AL
1896-08-01,Alabama,82.2,Average Temperature,1896-08-01,8,1896,AL
1896-09-01,Alabama,75.9,Average Temperature,1896-09-01,9,1896,AL
1896-10-01,Alabama,63.2,Average Temperature,1896-10-01,10,1896,AL
1896-11-01,Alabama,57.3,Average Temperature,1896-11-01,11,1896,AL
1896-12-01,Alabama,46.4,Average Temperature,1896-12-01,12,1896,AL
1897-01-01,Alabama,41.8,Average Temperature,1897-01-01,1,1897,AL
1897-02-01,Alabama,51.1,Average Temperature,1897-02-01,2,1897,AL
1897-03-01,Alabama,60.2,Average Temperature,1897-03-01,3,1897,AL
1897-04-01,Alabama,62.4,Average Temperature,1897-04-01,4,1897,AL
1897-05-01,Alabama,69.0,Average Temperature,1897-05-01,5,1897,AL
1897-06-01,Alabama,81.2,Average Temperature,1897-06-01,6,1897,AL
1897-07-01,Alabama,81.5,Average Temperature,1897-07-01,7,1897,AL
1897-08-01,Alabama,78.8,Average Temperature,1897-08-01,8,1897,AL
1897-09-01,Alabama,75.6,Average Temperature,1897-09-01,9,1897,AL
1897-10-01,Alabama,67.1,Average Temperature,1897-10-01,10,1897,AL
1897-11-01,Alabama,54.2,Average Temperature,1897-11-01,11,1897,AL
1897-12-01,Alabama,47.4,Average Temperature,1897-12-01,12,1897,AL
1898-01-01,Alabama,49.0,Average Temperature,1898-01-01,1,1898,AL
1898-02-01,Alabama,46.1,Average Temperature,1898-02-01,2,1898,AL
1898-03-01,Alabama,59.2,Average Temperature,1898-03-01,3,1898,AL
1898-04-01,Alabama,58.8,Average Temperature,1898-04-01,4,1898,AL
1898-05-01,Alabama,74.1,Average Temperature,1898-05-01,5,1898,AL
1898-06-01,Alabama,80.4,Average Temperature,1898-06-01,6,1898,AL
1898-07-01,Alabama,80.0,Average Temperature,1898-07-01,7,1898,AL
1898-08-01,Alabama,78.8,Average Temperature,1898-08-01,8,1898,AL
1898-09-01,Alabama,75.2,Average Temperature,1898-09-01,9,1898,AL
1898-10-01,Alabama,61.0,Average Temperature,1898-10-01,10,1898,AL
1898-11-01,Alabama,49.8,Average Temperature,1898-11-01,11,1898,AL
1898-12-01,Alabama,43.4,Average Temperature,1898-12-01,12,1898,AL
1899-01-01,Alabama,43.8,Average Temperature,1899-01-01,1,1899,AL
1899-02-01,Alabama,40.0,Average Temperature,1899-02-01,2,1899,AL
