GHCN_ID,month,day,hour,MLY-SNOW-NORMAL,meas_flag_MLY-SNOW-NORMAL,comp_flag_MLY-SNOW-NORMAL,years_MLY-SNOW-NORMAL
AQC00914000,01,99,99,     0.0, ,P,17
AQC00914000,02,99,99,     0.0, ,P,17
AQC00914000,03,99,99,     0.0, ,P,18
AQC00914000,04,99,99,     0.0, ,P,17
AQC00914000,05,99,99,     0.0, ,P,16
AQC00914000,06,99,99,     0.0, ,P,16
AQC00914000,07,99,99,     0.0, ,P,15
AQC00914000,08,99,99,     0.0, ,P,17
AQC00914000,09,99,99,     0.0, ,P,18
AQC00914000,10,99,99,     0.0, ,P,16
AQC00914000,11,99,99,     0.0, ,P,15
AQC00914000,12,99,99,     0.0, ,P,16
AQW00061705,01,99,99,     0.0, ,P,21
AQW00061705,02,99,99,     0.0, ,P,21
AQW00061705,03,99,99,     0.0, ,P,21
AQW00061705,04,99,99,     0.0, ,P,21
AQW00061705,05,99,99,     0.0, ,P,21
AQW00061705,06,99,99,     0.0, ,P,21
AQW00061705,07,99,99,     0.0, ,P,21
AQW00061705,08,99,99,     0.0, ,P,21
AQW00061705,09,99,99,     0.0, ,P,21
AQW00061705,10,99,99,     0.0, ,P,20
AQW00061705,11,99,99,     0.0, ,P,20
AQW00061705,12,99,99,     0.0, ,P,20
CQC00914080,01,99,99,     0.0, ,P,15
CQC00914080,02,99,99,     0.0, ,P,16
CQC00914080,03,99,99,     0.0, ,P,16
CQC00914080,04,99,99,     0.0, ,P,15
CQC00914080,05,99,99,     0.0, ,P,15
CQC00914080,06,99,99,     0.0, ,P,15
CQC00914080,07,99,99,     0.0, ,P,15
CQC00914080,08,99,99,     0.0, ,P,16
CQC00914080,09,99,99,     0.0, ,P,16
CQC00914080,10,99,99,     0.0, ,P,16
CQC00914080,11,99,99,     0.0, ,P,15
CQC00914080,12,99,99,     0.0, ,P,15
CQC00914801,01,99,99,     0.0, ,P,17
CQC00914801,02,99,99,     0.0, ,P,16
CQC00914801,03,99,99,     0.0, ,P,17
CQC00914801,04,99,99,     0.0, ,P,17
CQC00914801,05,99,99,     0.0, ,P,16
CQC00914801,06,99,99,     0.0, ,P,17
CQC00914801,07,99,99,     0.0, ,P,18
CQC00914801,08,99,99,     0.0, ,P,18
CQC00914801,09,99,99,     0.0, ,P,17
CQC00914801,10,99,99,     0.0, ,P,18
CQC00914801,11,99,99,     0.0, ,P,17
CQC00914801,12,99,99,     0.0, ,P,17
CQC00914855,01,99,99,     0.0, ,S,26
CQC00914855,02,99,99,     0.0, ,S,28
CQC00914855,03,99,99,     0.0, ,S,24
CQC00914855,04,99,99,     0.0, ,S,27
CQC00914855,05,99,99,     0.0, ,S,25
CQC00914855,06,99,99,     0.0, ,S,28
CQC00914855,07,99,99,     0.0, ,S,27
CQC00914855,08,99,99,     0.0, ,S,28
CQC00914855,09,99,99,     0.0, ,S,28
CQC00914855,10,99,99,     0.0, ,S,27
CQC00914855,11,99,99,     0.0, ,S,27
CQC00914855,12,99,99,     0.0, ,S,24
CQC00914874,01,99,99,     0.0, ,P,19
CQC00914874,02,99,99,     0.0, ,P,18
CQC00914874,03,99,99,     0.0, ,P,17
CQC00914874,04,99,99,     0.0, ,P,16
CQC00914874,05,99,99,     0.0, ,P,16
CQC00914874,06,99,99,     0.0, ,P,19
CQC00914874,07,99,99,     0.0, ,P,18
CQC00914874,08,99,99,     0.0, ,P,17
CQC00914874,09,99,99,     0.0, ,P,15
CQC00914874,10,99,99,     0.0, ,P,18
CQC00914874,11,99,99,     0.0, ,P,16
CQC00914874,12,99,99,     0.0, ,P,19
FMC00914213,01,99,99,     0.0, ,P,13
FMC00914213,02,99,99,     0.0, ,P,11
FMC00914213,03,99,99,     0.0, ,P,13
FMC00914213,04,99,99,     0.0, ,P,12
FMC00914213,05,99,99,     0.0, ,P,12
FMC00914213,06,99,99,     0.0, ,P,13
FMC00914213,07,99,99,     0.0, ,P,13
FMC00914213,08,99,99,     0.0, ,P,13
FMC00914213,09,99,99,     0.0, ,P,12
FMC00914213,10,99,99,     0.0, ,P,13
FMC00914213,11,99,99,     0.0, ,P,13
FMC00914213,12,99,99,     0.0, ,P,13
FMC00914325,01,99,99,     0.0, ,P,10
FMC00914325,02,99,99,     0.0, ,P,11
FMC00914325,03,99,99,     0.0, ,P,11
FMC00914325,04,99,99,     0.0, ,P,11
FMC00914325,05,99,99,     0.0, ,P,11
FMC00914325,06,99,99,     0.0, ,P,12
FMC00914325,07,99,99,     0.0, ,P,12
FMC00914325,08,99,99,     0.0, ,P,12
FMC00914325,09,99,99,     0.0, ,P,11
FMC00914325,10,99,99,     0.0, ,P,12
FMC00914325,11,99,99,     0.0, ,P,11
FMC00914325,12,99,99,     0.0, ,P,12
FMC00914395,01,99,99,     0.0, ,P,18
FMC00914395,02,99,99,     0.0, ,P,20
FMC00914395,03,99,99,     0.0, ,P,20
FMC00914395,04,99,99,     0.0, ,P,19
FMC00914395,05,99,99,     0.0, ,P,20
FMC00914395,06,99,99,     0.0, ,P,20
FMC00914395,07,99,99,     0.0, ,P,20
FMC00914395,08,99,99,     0.0, ,P,20
FMC00914395,09,99,99,     0.0, ,P,18
FMC00914395,10,99,99,     0.0, ,P,20
FMC00914395,11,99,99,     0.0, ,P,19
FMC00914395,12,99,99,     0.0, ,P,19
FMC00914429,01,99,99,     0.0, ,P,20
FMC00914429,02,99,99,     0.0, ,P,19
FMC00914429,03,99,99,     0.0, ,P,20
FMC00914429,04,99,99,     0.0, ,P,19
FMC00914429,05,99,99,     0.0, ,P,19
FMC00914429,06,99,99,     0.0, ,P,20
FMC00914429,07,99,99,     0.0, ,P,20
FMC00914429,08,99,99,     0.0, ,P,20
FMC00914429,09,99,99,     0.0, ,P,19
FMC00914429,10,99,99,     0.0, ,P,20
FMC00914429,11,99,99,     0.0, ,P,19
FMC00914429,12,99,99,     0.0, ,P,19
FMC00914446,01,99,99,     0.0, ,P,19
FMC00914446,02,99,99,     0.0, ,P,18
FMC00914446,03,99,99,     0.0, ,P,19
FMC00914446,04,99,99,     0.0, ,P,18
FMC00914446,05,99,99,     0.0, ,P,18
FMC00914446,06,99,99,     0.0, ,P,20
FMC00914446,07,99,99,     0.0, ,P,20
FMC00914446,08,99,99,     0.0, ,P,20
FMC00914446,09,99,99,     0.0, ,P,19
FMC00914446,10,99,99,     0.0, ,P,20
FMC00914446,11,99,99,     0.0, ,P,19
FMC00914446,12,99,99,     0.0, ,P,19
FMC00914585,01,99,99,     0.0, ,P,17
FMC00914585,02,99,99,     0.0, ,P,16
FMC00914585,03,99,99,     0.0, ,P,17
FMC00914585,04,99,99,     0.0, ,P,16
FMC00914585,05,99,99,     0.0, ,P,16
FMC00914585,06,99,99,     0.0, ,P,17
FMC00914585,07,99,99,     0.0, ,P,17
FMC00914585,08,99,99,     0.0, ,P,17
FMC00914585,09,99,99,     0.0, ,P,16
FMC00914585,10,99,99,     0.0, ,P,17
FMC00914585,11,99,99,     0.0, ,P,17
FMC00914585,12,99,99,     0.0, ,P,17
FMC00914590,01,99,99,     0.0, ,P,19
FMC00914590,02,99,99,     0.0, ,P,20
FMC00914590,03,99,99,     0.0, ,P,20
FMC00914590,04,99,99,     0.0, ,P,20
FMC00914590,05,99,99,     0.0, ,P,20
FMC00914590,06,99,99,     0.0, ,P,20
FMC00914590,07,99,99,     0.0, ,P,20
FMC00914590,08,99,99,     0.0, ,P,20
FMC00914590,09,99,99,     0.0, ,P,18
FMC00914590,10,99,99,     0.0, ,P,20
FMC00914590,11,99,99,     0.0, ,P,19
FMC00914590,12,99,99,     0.0, ,P,20
FMC00914720,01,99,99,     0.0, ,P,19
FMC00914720,02,99,99,     0.0, ,P,20
FMC00914720,03,99,99,     0.0, ,P,20
FMC00914720,04,99,99,     0.0, ,P,19
FMC00914720,05,99,99,     0.0, ,P,20
FMC00914720,06,99,99,     0.0, ,P,20
FMC00914720,07,99,99,     0.0, ,P,19
FMC00914720,08,99,99,     0.0, ,P,20
FMC00914720,09,99,99,     0.0, ,P,19
FMC00914720,10,99,99,     0.0, ,P,20
FMC00914720,11,99,99,     0.0, ,P,19
FMC00914720,12,99,99,     0.0, ,P,18
FMC00914808,01,99,99,     0.0, ,P,17
FMC00914808,02,99,99,     0.0, ,P,16
FMC00914808,03,99,99,     0.0, ,P,17
FMC00914808,04,99,99,     0.0, ,P,15
FMC00914808,05,99,99,     0.0, ,P,16
FMC00914808,06,99,99,     0.0, ,P,17
FMC00914808,07,99,99,     0.0, ,P,17
FMC00914808,08,99,99,     0.0, ,P,17
