Station Name,Station Type,longitude,latitude,snowfall,years in record,
RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT,WBAN,-71.432,41.723,38,95,
BRIDGEWATER,COOP,-70.957,41.954,21,78,
FALMOUTH 3.1 NNW,CoCoRaHS,-70.632,41.587,28,18,
DIGHTON 1.1 WSW,CoCoRaHS,-71.136,41.812,33,18,
REHOBOTH 2.1 N,CoCoRaHS,-71.273,41.863,26.5,18,
EAST SANDWICH 2.3 SE,CoCoRaHS,-70.418,41.722,31,16,
NWS BOSTON/NORTON,COOP,-71.139,41.956,31.3,32,
CARMEL 4N,COOP,-73.655,41.473,20.1,24,
BAITING HOLLOW,COOP,-72.741,40.934,44.2,20,
RIVERHEAD 1.3 SSE,CoCoRaHS,-72.67,40.93,20.2,19,
SOUTH SALEM 2.1 NW,CoCoRaHS,-73.57,41.3,29,17,
CENTER MORICHES 0.5 N,CoCoRaHS,-72.798,40.807,24.8,29,
ISLIP-LI MACARTHUR AP,WBAN,-73.102,40.794,29.1,63,
OCEAN CITY,COOP,-74.606,39.263,21,16,
MEDFORD LAKES 0.6 W,CoCoRaHS,-74.817,39.857,15.2,16,
MANVILLE 0.6 W,CoCoRaHS,-74.601,40.543,16.7,29,
EWING 1 ESE,COOP,-74.786,40.26,15.9,29,
WILLOW GROVE 0.9 ESE,CoCoRaHS,-75.103,40.145,10.2,29,
WILMINGTON 5.6 N,CoCoRaHS,-75.518,39.817,9.5,29,
DELMAR 0.2 NE,CoCoRaHS,-75.573,38.454,11.5,20,
SALISBURY 2N,COOP,-75.592,38.408,11.3,16,
