id,latitude,longitude,elevation,state,name,GHCN_ID,annual_snow
US10dund005,40.1765,-101.39,961.9,NE,MAX 4.4 NNE,US10dund005,21.1
US10fron002,40.5556,-100.4389,808.9,NE,CURTIS 6.5 SE,US10fron002,20.3
US10garf004,42.058,-98.9925,691.0,NE,BURWELL 20.4 NNE,US10garf004,37.9
US10jeff006,40.25,-97.217,455.1,NE,FAIRBURY 8.0 NNW,US10jeff006,20.6
US10kear005,40.3622,-99.1735,686.1,NE,WILCOX 0.3 SW,US10kear005,23.8
US10sali011,40.3504,-97.3542,472.1,NE,TOBIAS 4.7 SSW,US10sali011,21.6
US10vall002,41.5105,-98.883,624.8,NE,ORD 6.8 SSE,US10vall002,26.9
US10vall009,41.4239,-99.1593,666.0,NE,ARCADIA 1.7 W,US10vall009,35.1
US1CAPC0001,39.3021,-120.3837,2099.2,CA,SODA SPRINGS 1.5 SSW,US1CAPC0001,445.0
US1COBO0002,39.935,-105.0845,1663.9,CO,BROOMFIELD 1.2 NE,US1COBO0002,67.9
US1COBO0004,39.9941,-105.2573,1645.0,CO,BOULDER 2.9 S,US1COBO0004,85.2
US1COBO0008,39.9925,-105.1057,1610.9,CO,LAFAYETTE 0.4 WSW,US1COBO0008,65.0
US1COBO0014,39.9922,-105.2647,1667.9,CO,BOULDER 1.6 S,US1COBO0014,92.7
US1COBO0143,40.2001,-105.1087,1538.9,CO,LONGMONT 2.1 N,US1COBO0143,47.400000000000006
US1COBO0202,40.1103,-105.4391,2609.1,CO,WARD 4.6 NE,US1COBO0202,183.5
US1COBR0013,39.939,-105.0826,1653.2,CO,BROOMFIELD 1.1 NE,US1COBR0013,73.9
US1CODG0074,39.5404,-104.9123,1805.9,CO,HIGHLANDS RANCH 3.2 ESE,US1CODG0074,64.0
US1COEP0037,38.9052,-104.8491,2012.9,CO,COLORADO SPRINGS 5.7 WNW,US1COEP0037,55.2
US1COGN0018,38.9603,-106.9908,2927.9,CO,CRESTED BUTTE 6.2 N,US1COGN0018,389.0
US1COJF0072,39.8826,-105.1056,1656.9,CO,BROOMFIELD 2.3 SSW,US1COJF0072,54.8
US1COLK0001,39.2573,-106.3173,3037.9,CO,LEADVILLE 1.4 WNW,US1COLK0001,153.9
US1COLP0098,37.3244,-107.5979,2269.8,CO,BAYFIELD 6.2 N,US1COLP0098,93.4
US1COLR0075,40.5538,-105.1289,1567.0,CO,FORT COLLINS 2.8 WSW,US1COLR0075,57.4
US1COLR0255,40.5759,-105.0858,1527.0,CO,FCL,US1COLR0255,49.3
US1COLR0273,40.5998,-105.1151,1544.4,CO,FCL 2.2 NW,US1COLR0273,53.5
US1COLR0312,40.624,-105.0649,1547.2,CO,FCL 3.1 NE,US1COLR0312,33.6
US1COLR0767,40.3464,-105.5217,2420.1,CO,ESTES PARK 1.8 S,US1COLR0767,118.0
US1COWE0003,40.4505,-104.6799,1428.9,CO,GREELEY 3.9 ENE,US1COWE0003,32.7
